Date;OR FP Equity;DG FP Equity;TTE FP Equity;AI FP Equity;DSY FP Equity;CS FP Equity;ERF FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;AC FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;URW FP Equity;ACA FP Equity;RI FP Equity;STMPA FP Equity
14/04/2023;420.65;108.32;58.72;144.0545;37.76;28.715;62.02;59.39;58.83;168.65;18.665;51.58;31.08;175.58;9.47;892.8;29.43;576;73.5;38.04;136.9;140.9;212.1;1975;15.082;11.258;26.965;32.25;29.03;102.04;22.4;150.42;126.28;82.64;51.62;10.956;209;46.07
21/04/2023;442.6;110.26;57.7;148.0909;37.53;29.265;61.14;58.66;59.86;161.85;18.38;51.3;31.38;186.52;9.938;901.1;28.38;578;75.7;33.315;142.46;142.05;205.3;2003.5;15.474;11.536;25.88;32.5;29.4;102.88;22.235;152.6;127.32;84.12;48.75;10.886;214.6;43.21
28/04/2023;432.75;112.2;57.94;148.3455;36.67;29.57;63.26;58.59;59.99;164.9;18.86;52.42;32.12;179.4;9.954;871;28.83;579.7;74.12;33.63;140.94;138.4;180.8;1966.8;14.516;11.816;25.71;33.2;28.69;100;22.025;157.82;127.14;85.7;48.54;11.084;209.4;38.565
05/05/2023;424.45;109.08;56.13;148.5455;36.515;28.86;65;57.89;60.39;167.45;17.815;52.1;32.17;183.86;9.822;876.9;29.43;561.4;70.42;32.8;137.7;136.35;160.9;1993.8;14.554;11.638;24.63;31.61;28.34;101.56;21.62;158.64;122.2;85.18;45.51;11.062;214.5;38.57
12/05/2023;421.1;109.24;55.76;148.8182;36.46;26.945;60;58.49;59.09;163.35;18.3;53.51;31.26;186.14;9.722;885.4;29.05;545.4;69.76;33.555;140;138.5;158.75;1975.4;14.868;11.562;24.3;31.61;27.71;99.3;22.06;158.16;122.8;86.3;44.54;11.718;214.1;38.975
19/05/2023;421.6;110.9;56.12;148.1091;37.935;27.765;60.48;59.85;58.75;164.1;17.79;55.4;32.5;183.42;9.492;874.3;27.99;535.1;71.6;33.565;143.14;139.15;158.5;2002.5;14.496;11.32;24.83;30.98;28.26;101.62;23.185;164.6;129.24;87.92;43.95;11.87;212;41.535
26/05/2023;411;108.36;55.76;144.8545;40.715;27.095;61.5;56.31;57.16;157;17.6;53.62;31.29;176.92;8.498;843.5;27.54;517.7;70.18;33.23;139.06;134.05;147;1959.2;13.896;11.39;24.31;30.24;26.96;99.4;23.84;164;125.68;88.34;42.94;11.91;210.3;40.68
02/06/2023;407.8;107.58;55.18;144.8909;41.675;27.255;61.6;56.48;56.06;167.7;17.315;54.67;31.69;171.32;8.376;830.9;27.43;506.7;70.8;33.095;139.04;133;141.8;1957.2;14.104;11.03;24.93;30.43;27.96;94.98;22.61;165.62;128.38;88.72;44.7;10.954;204.3;42.01
09/06/2023;402.2;106.7;54.95;142.3636;40.175;26.52;59.82;56.07;53.62;168.4;16.45;55.82;32.7;167.82;8.14;820;27.52;504.7;71.76;33.085;136.64;130.45;145.3;1916.4;14.228;10.528;25.46;30.33;28.8;95.4;23.325;163.94;128.42;89.48;46.87;10.832;198.9;44.1
16/06/2023;414.95;110.48;53.8;152.6727;41.355;26.4;61.5;56.57;55.3;178.85;16.455;56.19;33.08;172.88;8.348;868.6;27.47;527.7;74.04;36.755;140.46;135.3;162.2;1986;14.356;10.388;25.76;30.45;29.33;95.66;23.23;162.98;131.18;91.54;47.43;10.834;203.3;45.605
23/06/2023;406.4;104;52.05;144.1636;39.68;26.41;56.58;54.85;56.09;169.35;16.405;54.05;32.83;167.56;8.266;830.1;26.26;502.2;71.04;35.67;139.48;134.65;153.15;1901.4;14.112;10.368;24.57;29.6;28.18;98.6;22.7;158.1;126.74;87.02;45.6;10.47;196.75;42.635
30/06/2023;427.1;106.38;52.55;149.2727;40.625;27.025;58.16;57.72;56.14;173.55;17.355;55.73;34.02;172.6;8.406;863;27.06;505.6;73.5;38.58;143.46;137.2;153.45;1990;15.228;10.702;24.93;30.76;28.95;98.2;23.8;166.46;132.36;90.8;48.15;10.872;202.4;45.565
07/07/2023;402.65;102.4;51.1;140.7091;39.06;25.35;56.74;55.12;55.26;169.45;16.885;53.68;33.35;170.98;8.456;825.4;26.36;477.6;70.02;37.775;134.84;131.9;145;1862.2;15.094;10.332;24.025;29.37;28.52;93.95;23.305;156.92;131.1;87.8;49.51;10.592;196.4;43.8
14/07/2023;421.6;106.42;51.28;146.2364;40.835;26.34;59;56.65;55.63;176.3;17.105;57.71;33.88;176.1;8.488;892.3;27.46;500;72.34;38.37;137.06;137.45;156.4;1996.2;15.012;10.49;24.945;30.51;29.47;93.7;23.915;162.24;133.02;91.88;52.84;10.986;202.6;47.33
21/07/2023;411.15;108.02;53.99;146.2545;40.45;27.7;61.1;58.01;56.58;174.2;17.71;58.36;33.96;178.5;8.368;867.9;28.36;541.3;71.18;39.315;141.72;133.5;154.3;1915;15.462;10.764;24.83;31.66;29.7;98.61;23.995;162.58;134.5;90.5;52.9;11.118;201.8;45.71
28/07/2023;420.85;107.84;54.44;148.8182;38.65;28.18;62.32;60.18;56.43;167;18.265;61.46;34.05;180.44;8.224;841.2;29.91;531.2;73.6;40.535;150.46;134.25;135.6;2011.5;14.994;10.386;25.675;33.21;29.72;94.96;24.725;162.14;133.42;91.16;50.78;11.326;202.9;48.395
